disease_name,category,risk_level,title,description,image_url
PCOS,yoga,low,Supta Baddha Konasana,Reclining Bound Angle Pose - great for relaxation and opening the pelvic area.,/images/bezawada/Top.jpg
PCOS,yoga,low,Marjaryasana-Bitilasana,Cat-Cow stretch to improve spinal flexibility and massage reproductive organs.,/images/bezawada/b848269cfb7fb5dbd3e40580172d41e2.jpg
PCOS,yoga,low,Balasana,Child's pose for stress relief and calming the nervous system.,/images/bezawada/Top.jpg
PCOS,yoga,moderate,Surya Namaskar,Sun Salutations at a steady pace to improve metabolism and hormonal balance.,/images/bezawada/Top.jpg
PCOS,yoga,moderate,Malasana,Garland Pose helps in strengthening the pelvic floor and improving digestion.,/images/bezawada/Top.jpg
PCOS,yoga,moderate,Setu Bandhasana,Bridge Pose to stimulate the thyroid gland and improve circulation.,/images/bezawada/b848269cfb7fb5dbd3e40580172d41e2.jpg
PCOS,yoga,high,Adho Mukha Svanasana,Downward Facing Dog to improve circulation to the brain and pituitary gland.,/images/bezawada/Top.jpg
PCOS,yoga,high,Dhanurasana,Bow Pose to stimulate the abdominal organs and improve reproductive health.,/images/bezawada/Top.jpg
PCOS,yoga,high,Paschimottanasana,Seated Forward Bend to help manage stress and calm the mind.,/images/bezawada/Top.jpg
PCOS,exercise,low,Brisk Walking,30 minutes of walking at a comfortable pace to maintain activity.,/images/bezawada/th.jpeg
PCOS,exercise,low,Swimming,Low-impact full-body workout that is gentle on the joints.,/images/bezawada/cardio-light-workout.jpg
PCOS,exercise,low,Cycling,Stamina-building exercise at a moderate intensity.,/images/bezawada/cardio-light-workout.jpg
PCOS,exercise,moderate,Resistance Training,Light weightlifting to improve insulin sensitivity and build muscle.,/images/bezawada/cardio-light-workout.jpg
PCOS,exercise,moderate,Jogging,Intermittent jogging to boost cardiovascular health and burn calories.,/images/bezawada/th.jpeg
PCOS,exercise,moderate,Pilates,Focuses on core strength and flexibility which helps in hormonal regulation.,/images/bezawada/cardio-light-workout.jpg
PCOS,exercise,high,HIIT,High-Intensity Interval Training to maximize calorie burn and improve insulin resistance.,/images/bezawada/Screenshot 2026-02-15 131826.png
PCOS,exercise,high,Boxing,High-energy workout for stress relief and intensity.,/images/bezawada/Screenshot 2026-02-15 131826.png
PCOS,exercise,high,Zumba,Intense cardio session through dance to keep the energy high.,/images/bezawada/Screenshot 2026-02-15 131826.png
PCOS,diet,low,Whole Grains,Include oats, brown rice, and quinoa for better fiber intake.,
PCOS,diet,low,Hydration,Drink at least 2-3 liters of water daily to flush out toxins.,
PCOS,diet,low,Berries,Blueberries and strawberries are rich in antioxidants.,
PCOS,diet,moderate,Leafy Greens,Increase intake of spinach and kale for essential vitamins and minerals.,
PCOS,diet,moderate,Lean Protein,Include chicken, fish, or tofu to maintain muscle mass.,
PCOS,diet,moderate,Healthy Fats,Add walnuts, almonds, and avocados for hormonal support.,
PCOS,diet,high,Low Glycemic Diet,Strict adherence to low GI foods to manage insulin spikes.,
PCOS,diet,high,Anti-inflammatory Foods,Focus on turmeric, ginger, and fatty fish.,
PCOS,diet,high,Spearmint Tea,Known to help reduce androgen levels in PCOS patients.,
PCOS,ayurveda,low,Shatavari,Used for hormonal balance and supporting reproductive health.,
PCOS,ayurveda,low,Triphala,Aids digestion and detoxification.,
PCOS,ayurveda,low,Amla,Rich in Vitamin C and supports overall immunity.,
PCOS,ayurveda,moderate,Ashwagandha,Helps the body manage stress and balance cortisol levels.,
PCOS,ayurveda,moderate,Turmeric & Milk,Anti-inflammatory drink to support the immune system.,
PCOS,ayurveda,moderate,Cinnamon Water,Helps in regulating blood sugar levels and insulin sensitivity.,
PCOS,ayurveda,high,Spearmint Tea,High dose spearmint infusions to combat hirsutism.,
PCOS,ayurveda,high,Guggul,Known to support metabolism and manage weight.,
PCOS,ayurveda,high,Kanchanar Guggulu,Traditionally used for managing growths or cysts.,
Thyroid,yoga,low,Marjaryasana,Cat Pose to gently stimulate the neck area.,/images/bezawada/b848269cfb7fb5dbd3e40580172d41e2.jpg
Thyroid,yoga,low,Tadasana,Mountain Pose for improving posture and awareness.,/images/bezawada/Screenshot 2026-02-15 133125.png
Thyroid,yoga,low,Vrikshasana,Tree Pose for balance and focus.,/images/bezawada/Screenshot 2026-02-15 133125.png
Thyroid,yoga,moderate,Setu Bandhasana,Bridge Pose to stretch the neck and stimulate the thyroid gland.,/images/bezawada/b848269cfb7fb5dbd3e40580172d41e2.jpg
Thyroid,yoga,moderate,Ustrasana,Camel Pose to open the chest and throat.,/images/bezawada/b848269cfb7fb5dbd3e40580172d41e2.jpg
Thyroid,yoga,moderate,Viparita Karani,Legs Up The Wall pose for relaxation and circulation.,/images/bezawada/Screenshot 2026-02-15 133125.png
Thyroid,yoga,high,Sarvangasana,Shoulder Stand - the "Queen" of asanas for thyroid stimulation.,/images/bezawada/Screenshot 2026-02-15 132918.png
Thyroid,yoga,high,Halasana,Plow Pose for intense neck stretch and thyroid stimulation.,/images/bezawada/Screenshot 2026-02-15 132918.png
Thyroid,yoga,high,Matsyasana,Fish Pose to counter shoulder stand and open the throat further.,/images/bezawada/Screenshot 2026-02-15 132918.png
Thyroid,exercise,low,Walking,Regular walking to keep the metabolism active.,/images/bezawada/th.jpeg
Thyroid,exercise,low,Tai Chi,Gentle movement for stress reduction and balance.,/images/bezawada/th.jpeg
Thyroid,exercise,low,Yoga,Gentle hatha yoga for flexibility and calm.,/images/bezawada/Top.jpg
Thyroid,exercise,moderate,Jogging,Moderate pace jogging to boost metabolism.,/images/bezawada/th.jpeg
Thyroid,exercise,moderate,Water Aerobics,Resistance training in water to build strength without joint strain.,/images/bezawada/cardio-light-workout.jpg
Thyroid,exercise,moderate,Cycling,Consistent cycling to improve cardiovascular health.,/images/bezawada/cardio-light-workout.jpg
Thyroid,exercise,high,Strength Training,Heavy lifting to combat muscle loss and boost metabolic rate.,/images/bezawada/images.jpeg
Thyroid,exercise,high,Running,Vigorous running for calorie burn and heart health.,/images/bezawada/images.jpeg
Thyroid,exercise,high,CrossFit,High-intensity functional movements for overall metabolic health.,/images/bezawada/Screenshot 2026-02-15 131826.png
Thyroid,diet,low,lodized Salt,Ensure adequate iodine intake for thyroid hormone production.,/images/bezawada/istockphoto-1307904011-612x612.jpg
Thyroid,diet,low,Nuts,Especially Brazil nuts for selenium which is vital for thyroid.,/images/bezawada/istockphoto-1307904011-612x612.jpg
